"id","day","wd","minute10","W"
760,6,1,40,209.5
761,6,1,41,235.5
762,6,1,42,248.5
763,6,1,43,278.5
764,6,1,44,311
765,6,1,45,332
766,6,1,46,354
767,6,1,47,377.5
768,6,1,48,411.5
769,6,1,49,399
770,6,1,50,415
771,6,1,51,418
772,6,1,52,402
773,6,1,53,383.5
774,6,1,54,373
775,6,1,55,391.5
776,6,1,56,413.5
777,6,1,57,406.5
778,6,1,58,368
779,6,1,59,353.5
780,6,1,60,367.5
781,6,1,61,380
782,6,1,62,372.5
783,6,1,63,350.5
784,6,1,64,329
785,6,1,65,328.5
786,6,1,66,321.5
787,6,1,67,327
788,6,1,68,346.5
789,6,1,69,336.5
790,6,1,70,343.5
791,6,1,71,345.5
792,6,1,72,332
793,6,1,73,345
794,6,1,74,368
795,6,1,75,347
796,6,1,76,369
797,6,1,77,344
798,6,1,78,344.5
799,6,1,79,335.5
800,6,1,80,368.5
801,6,1,81,376
802,6,1,82,380.5
803,6,1,83,387.5
804,6,1,84,376
805,6,1,85,349
806,6,1,86,352
807,6,1,87,358
808,6,1,88,350.5
809,6,1,89,371.5
810,6,1,90,363.5
811,6,1,91,371
812,6,1,92,396.5
813,6,1,93,415.5
814,6,1,94,433
815,6,1,95,439
816,6,1,96,463
817,6,1,97,478
818,6,1,98,500.5
819,6,1,99,519.5
820,6,1,100,552
821,6,1,101,568.5
822,6,1,102,602
823,6,1,103,641.5
824,6,1,104,663.5
825,6,1,105,663.5
826,6,1,106,628
827,6,1,107,642.5
828,6,1,108,672
829,6,1,109,662
830,6,1,110,697.5
831,6,1,111,716.5
832,6,1,112,696
833,6,1,113,719
834,6,1,114,719.5
835,6,1,115,673.5
836,6,1,116,677
837,6,1,117,661
838,6,1,118,660
839,6,1,119,661
840,6,1,120,684.5
841,6,1,121,662.5
842,6,1,122,656.5
843,6,1,123,630
844,6,1,124,618
845,6,1,125,643.5
846,6,1,126,632
847,6,1,127,594
848,6,1,128,619
849,6,1,129,609.5
850,6,1,130,575
851,6,1,131,568.5
852,6,1,132,555.5
853,6,1,133,545.5
854,6,1,134,525.5
855,6,1,135,505
856,6,1,136,474
857,6,1,137,478
858,6,1,138,460
859,6,1,139,440.5
860,6,1,140,405
861,6,1,141,382.5
862,6,1,142,377.5
863,6,1,143,364.5
864,6,1,144,344.5
865,7,2,1,330.5
866,7,2,2,305.5
867,7,2,3,296.5
868,7,2,4,284
869,7,2,5,270.5
870,7,2,6,257.5
871,7,2,7,244
872,7,2,8,239
873,7,2,9,235
874,7,2,10,231.5
875,7,2,11,234.5
876,7,2,12,224
877,7,2,13,216
878,7,2,14,198
879,7,2,15,192.5
880,7,2,16,193
881,7,2,17,199
882,7,2,18,196.5
883,7,2,19,191.5
884,7,2,20,185
885,7,2,21,179.5
886,7,2,22,183
887,7,2,23,180.5
888,7,2,24,182
889,7,2,25,175.5
890,7,2,26,173.5
891,7,2,27,176
892,7,2,28,179
893,7,2,29,179
894,7,2,30,174.5
895,7,2,31,180
896,7,2,32,175
897,7,2,33,184.5
898,7,2,34,177.5
899,7,2,35,180
900,7,2,36,185
901,7,2,37,197
902,7,2,38,204
903,7,2,39,208
904,7,2,40,209.5
905,7,2,41,235.5
906,7,2,42,248.5
907,7,2,43,278.5
908,7,2,44,311
909,7,2,45,332
910,7,2,46,354
911,7,2,47,377.5
912,7,2,48,411.5
913,7,2,49,399
914,7,2,50,415
915,7,2,51,418
916,7,2,52,402
917,7,2,53,383.5
918,7,2,54,373
919,7,2,55,391.5
920,7,2,56,413.5
921,7,2,57,406.5
922,7,2,58,368
923,7,2,59,353.5
924,7,2,60,367.5
925,7,2,61,380
926,7,2,62,372.5
927,7,2,63,350.5
928,7,2,64,329
929,7,2,65,328.5
930,7,2,66,321.5
931,7,2,67,327
932,7,2,68,346.5
933,7,2,69,336.5
934,7,2,70,343.5
935,7,2,71,345.5
936,7,2,72,332
937,7,2,73,345
938,7,2,74,368
939,7,2,75,347
940,7,2,76,369
941,7,2,77,344
942,7,2,78,344.5
943,7,2,79,335.5
944,7,2,80,368.5
945,7,2,81,376
946,7,2,82,380.5
947,7,2,83,387.5
948,7,2,84,376
949,7,2,85,349
950,7,2,86,352
951,7,2,87,358
952,7,2,88,350.5
953,7,2,89,371.5
954,7,2,90,363.5
955,7,2,91,371
956,7,2,92,396.5
957,7,2,93,415.5
958,7,2,94,433
959,7,2,95,439
960,7,2,96,463
961,7,2,97,478
962,7,2,98,500.5
963,7,2,99,519.5
964,7,2,100,552
